DATE,TIME,Load_zone,Real_time_price,Day_ahead_price,BCK_UNIT2,JAY_UNIT1,JAY_UNIT2,TAV_UNIT1,TAV_UNIT2,ROW_UNIT1
20220101,0,LZ_HOUSTON,3.31,33.24,0,0,0,0,0,0
20220101,100,LZ_HOUSTON,4.29,25.9,0,0,0,0,0,0
20220101,200,LZ_HOUSTON,3.62,23.13,0,0,0,0,0,0
20220101,300,LZ_HOUSTON,-2.25,18.57,0,0,0,0,0,0
20220101,400,LZ_HOUSTON,0.61,12.78,0,0,0,0,0,0
20220101,500,LZ_HOUSTON,-0.03,15.66,0,0,0,0,0,0
20220101,600,LZ_HOUSTON,2.80,17.12,0,0,0,0,0,0
20220101,700,LZ_HOUSTON,2.83,18.97,0,0,0,0,0,0
20220101,800,LZ_HOUSTON,1.43,19.97,0,0,0,0.003,0.002,0
20220101,900,LZ_HOUSTON,1.75,21.76,6.767,6.607,5.776,0.696,0.472,3.442
20220101,1000,LZ_HOUSTON,0.02,24.45,13.781,12.989,12.97,10.976,8.633,8.522
20220101,1100,LZ_HOUSTON,-0.21,27.35,25.533,20.396,22.738,23.914,17.138,12.161
20220101,1200,LZ_HOUSTON,-0.38,28.4,119.323,109.406,108.844,74.31,50.65,29.639
20220101,1300,LZ_HOUSTON,-0.79,29.82,100.762,89.554,93.658,71.435,46.472,51.015
20220101,1400,LZ_HOUSTON,-0.01,30.08,89.058,82.724,79.684,79.405,55.045,50.557
20220101,1500,LZ_HOUSTON,0.09,28.49,119.844,112.867,94.964,77.993,54.8,66.579
20220101,1600,LZ_HOUSTON,12.30,33.1,126.631,104.079,104.785,40.713,26.245,55.535
20220101,1700,LZ_HOUSTON,37.72,43.65,40.271,37.423,33.571,16.643,10.837,21.521
20220101,1800,LZ_HOUSTON,26.99,30.16,0,0,0,0,0,0
20220101,1900,LZ_HOUSTON,10.66,27.25,0,0,0,0,0,0
20220101,2000,LZ_HOUSTON,11.59,24.75,0,0,0,0,0,0
20220101,2100,LZ_HOUSTON,5.60,25,0,0,0,0,0,0
20220101,2200,LZ_HOUSTON,-1.27,25.64,0,0,0,0,0,0
20220101,2300,LZ_HOUSTON,-2.53,25.24,0,0,0,0,0,0
20220102,0,LZ_HOUSTON,12.80,27.1,0,0,0,0,0,0
20220102,100,LZ_HOUSTON,15.51,25.22,0,0,0,0,0,0
20220102,200,LZ_HOUSTON,17.42,24.17,0,0,0,0,0,0
20220102,300,LZ_HOUSTON,20.16,22.63,0,0,0,0,0,0
20220102,400,LZ_HOUSTON,23.16,23.18,0,0,0,0,0,0
20220102,500,LZ_HOUSTON,24.92,25.28,0,0,0,0,0,0
20220102,600,LZ_HOUSTON,36.99,29.83,0,0,0,0,0,0
20220102,700,LZ_HOUSTON,17.22,37.23,0,0,0,0,0,0
20220102,800,LZ_HOUSTON,20.47,43.16,0.004,0.003,0.002,0.339,0.229,0.002
20220102,900,LZ_HOUSTON,18.94,36.77,73.88,57.164,68.772,53.468,30.622,38.439
20220102,1000,LZ_HOUSTON,26.33,34.95,141.668,145.978,130.997,101.824,74.126,75.372
20220102,1100,LZ_HOUSTON,28.77,32.89,168.368,165.268,139.078,123.239,80.68,92.063
20220102,1200,LZ_HOUSTON,37.25,29.73,169.141,150.473,152.507,131.226,78.634,91.116
20220102,1300,LZ_HOUSTON,36.15,26.8,184.146,141.848,147.033,119.213,80.41,87.916
20220102,1400,LZ_HOUSTON,37.08,25.82,181.936,167.411,149.924,115.817,86.208,87.17
20220102,1500,LZ_HOUSTON,33.61,25.34,173.166,147.717,157.87,114.667,74.048,87.416
20220102,1600,LZ_HOUSTON,36.05,30.48,141.096,133.721,125.431,106.901,65.159,76.885
20220102,1700,LZ_HOUSTON,37.72,78.2,86.028,86.102,77.004,58.19,44.513,46.564
20220102,1800,LZ_HOUSTON,25.47,91.26,0,0,0,0,0,0
20220102,1900,LZ_HOUSTON,40.21,70.76,0,0,0,0,0,0
20220102,2000,LZ_HOUSTON,46.83,61.47,0,0,0,0,0,0
20220102,2100,LZ_HOUSTON,30.74,48.18,0,0,0,0,0,0
20220102,2200,LZ_HOUSTON,36.48,39.37,0,0,0,0,0,0
20220102,2300,LZ_HOUSTON,68.34,36.85,0,0,0,0,0,0
20220103,0,LZ_HOUSTON,28.57,30.88,0,0,0,0,0,0
20220103,100,LZ_HOUSTON,32.35,30.36,0,0,0,0,0,0
20220103,200,LZ_HOUSTON,26,29.96,0,0,0,0,0,0
20220103,300,LZ_HOUSTON,30.74,29.6,0,0,0,0,0,0
20220103,400,LZ_HOUSTON,36.79,30.48,0,0,0,0,0,0
20220103,500,LZ_HOUSTON,39.35,38.32,0,0,0,0,0,0
20220103,600,LZ_HOUSTON,32.74,92.43,0,0,0,0,0,0
20220103,700,LZ_HOUSTON,27.83,100.17,0,0,0,0,0,0
20220103,800,LZ_HOUSTON,43.52,48.41,0.589,0.44,0.402,0.391,0.219,0.3
20220103,900,LZ_HOUSTON,22.57,35.83,71.16,63.926,56.933,52.387,35.054,32.658
20220103,1000,LZ_HOUSTON,21.58,30.49,162.693,151.477,149.338,111.293,75.614,87.929
20220103,1100,LZ_HOUSTON,14.95,28.64,172.992,158.908,151.485,114.345,86.997,98.71
20220103,1200,LZ_HOUSTON,15.99,27.45,170.931,171.18,153.39,119.998,76.86,94.618
20220103,1300,LZ_HOUSTON,15.79,25.74,167.79,149.862,138.719,119.365,81.132,87.392
20220103,1400,LZ_HOUSTON,14.11,24.81,155.581,153.927,147.147,120.847,74.908,89.113
20220103,1500,LZ_HOUSTON,11.45,23.65,155.053,132.019,136.677,114.721,72.819,82.569
20220103,1600,LZ_HOUSTON,9.66,26.86,154.53,135.579,142.431,103.858,72.428,76.859
20220103,1700,LZ_HOUSTON,12.49,47.43,85.492,80.331,77.731,60.667,37.761,45.913
20220103,1800,LZ_HOUSTON,1.99,36.13,0,0,0,0,0,0
20220103,1900,LZ_HOUSTON,2.36,31.67,0,0,0,0,0,0
20220103,2000,LZ_HOUSTON,-0.07,32.09,0,0,0,0,0,0
20220103,2100,LZ_HOUSTON,-5.79,30.4,0,0,0,0,0,0
20220103,2200,LZ_HOUSTON,-12.90,28.41,0,0,0,0,0,0
20220103,2300,LZ_HOUSTON,-2.40,25.78,0,0,0,0,0,0
20220104,0,LZ_HOUSTON,1.43,20.38,0,0,0,0,0,0
20220104,100,LZ_HOUSTON,-2.35,19.04,0,0,0,0,0,0
20220104,200,LZ_HOUSTON,5.69,19.75,0,0,0,0,0,0
20220104,300,LZ_HOUSTON,4.89,20.38,0,0,0,0,0,0
20220104,400,LZ_HOUSTON,12.93,24.98,0,0,0,0,0,0
20220104,500,LZ_HOUSTON,13.24,26.23,0,0,0,0,0,0
20220104,600,LZ_HOUSTON,19.09,41.34,0,0,0,0,0,0
20220104,700,LZ_HOUSTON,14.59,42.16,0,0,0,0,0,0
20220104,800,LZ_HOUSTON,-0.28,36.87,0.493,0.393,0.463,0.361,0.233,0.293
20220104,900,LZ_HOUSTON,-0.43,27.47,74.435,54.51,61.242,48.321,31.577,34.041
20220104,1000,LZ_HOUSTON,-1.36,23.92,156.401,131.372,128.793,102.652,64.689,78.877
20220104,1100,LZ_HOUSTON,-2.73,23.42,148.64,141.793,137.829,102.112,70.756,76.519
20220104,1200,LZ_HOUSTON,-1.25,20.81,132.932,140.078,131.893,104.496,72.035,79.901
20220104,1300,LZ_HOUSTON,9.05,19.47,144.971,125.053,120.953,95.572,65.104,78.688
20220104,1400,LZ_HOUSTON,17.28,19.27,147.518,123.673,115.732,96.449,66.687,71.072
20220104,1500,LZ_HOUSTON,21.78,18.95,142.545,120.855,102.924,92.783,59.388,69.538
20220104,1600,LZ_HOUSTON,30.64,21.55,123.018,115.149,109.763,93.761,61.182,68.245
20220104,1700,LZ_HOUSTON,23.24,44.38,84.503,71.493,67.031,59.427,40.06,41.279
20220104,1800,LZ_HOUSTON,17.76,34.23,0,0,0,0,0,0
20220104,1900,LZ_HOUSTON,15.17,29.39,0,0,0,0,0,0
20220104,2000,LZ_HOUSTON,13.45,26.26,0,0,0,0,0,0
20220104,2100,LZ_HOUSTON,7.29,24.67,0,0,0,0,0,0
20220104,2200,LZ_HOUSTON,1.48,25.82,0,0,0,0,0,0
20220104,2300,LZ_HOUSTON,15.02,24.3,0,0,0,0,0,0
20220105,0,LZ_HOUSTON,12.54,22.96,0,0,0,0,0,0
20220105,100,LZ_HOUSTON,24.17,22.07,0,0,0,0,0,0
20220105,200,LZ_HOUSTON,25.80,22.17,0,0,0,0,0,0
20220105,300,LZ_HOUSTON,25.61,22.42,0,0,0,0,0,0
20220105,400,LZ_HOUSTON,25.99,24.6,0,0,0,0,0,0
20220105,500,LZ_HOUSTON,28.96,29.25,0,0,0,0,0,0
20220105,600,LZ_HOUSTON,25.47,32.8,0,0,0,0,0,0
20220105,700,LZ_HOUSTON,-3.65,34.7,0,0,0,0,0,0
20220105,800,LZ_HOUSTON,-3.10,27.64,0.109,0.188,0.094,0.047,0.025,0.045
20220105,900,LZ_HOUSTON,-1.53,23.96,8.46,8.569,7.59,5.713,3.793,5.242
20220105,1000,LZ_HOUSTON,0.04,23.4,31.309,27.419,25.9,23.106,15.139,18.767
20220105,1100,LZ_HOUSTON,13.07,23.68,40.553,36.316,37.836,35.149,23.189,23.902
20220105,1200,LZ_HOUSTON,23.19,23.59,53.456,46.904,45.373,41.517,28.251,29.928
20220105,1300,LZ_HOUSTON,28.74,23.26,136.377,128.441,122.254,93.487,64.978,73.514
20220105,1400,LZ_HOUSTON,28.81,22.92,141.673,119.349,115.331,91.045,65.816,71.946
20220105,1500,LZ_HOUSTON,31.54,22.68,118.797,116.392,111.423,90.563,62.187,74.505
20220105,1600,LZ_HOUSTON,36.02,25.13,128.121,118.114,117.65,89.169,62.495,65.204
20220105,1700,LZ_HOUSTON,37.81,60.22,54.438,45.677,41.088,56.36,34.434,12.658
20220105,1800,LZ_HOUSTON,34.57,47.34,0,0,0,0,0,0
20220105,1900,LZ_HOUSTON,42.34,34.49,0,0,0,0,0,0
20220105,2000,LZ_HOUSTON,44.89,31.2,0,0,0,0,0,0
20220105,2100,LZ_HOUSTON,47.49,25.31,0,0,0,0,0,0
20220105,2200,LZ_HOUSTON,60.55,26.87,0,0,0,0,0,0
20220105,2300,LZ_HOUSTON,50.49,25.07,0,0,0,0,0,0
20220106,0,LZ_HOUSTON,43.51,25.12,0,0,0,0,0,0
20220106,100,LZ_HOUSTON,45.19,23.17,0,0,0,0,0,0
20220106,200,LZ_HOUSTON,41.96,23.06,0,0,0,0,0,0
20220106,300,LZ_HOUSTON,38.18,22.08,0,0,0,0,0,0
20220106,400,LZ_HOUSTON,39.46,23.07,0,0,0,0,0,0
20220106,500,LZ_HOUSTON,36.41,24.83,0,0,0,0,0,0
20220106,600,LZ_HOUSTON,27.61,28.05,0,0,0,0,0,0
20220106,700,LZ_HOUSTON,-0.37,28.57,0,0,0,0,0,0
20220106,800,LZ_HOUSTON,-3.72,25.85,0.03,0.033,0.026,0.046,0.025,0.021
20220106,900,LZ_HOUSTON,-12.07,24.03,5.618,5.008,4.76,15.239,9.347,2.831
20220106,1000,LZ_HOUSTON,-5.32,24.12,21.142,19.865,17.544,33.407,22.774,13.494
20220106,1100,LZ_HOUSTON,-3.80,24.55,122.387,110.163,110.508,51.651,33.296,47.45
20220106,1200,LZ_HOUSTON,-0.01,24.58,148.45,135.486,116.215,110.274,65.01,84.456
20220106,1300,LZ_HOUSTON,2.43,25.52,151.373,147.436,128.25,113.947,72.601,84.301
20220106,1400,LZ_HOUSTON,3.90,25.18,164.558,133.347,125.22,112.598,65.553,79.582
20220106,1500,LZ_HOUSTON,29.09,25.68,133.388,129.682,135.33,105.856,63.516,79.199
20220106,1600,LZ_HOUSTON,45.07,29.2,137.783,129.396,123.941,102.693,73.061,75.266
20220106,1700,LZ_HOUSTON,46.83,61.87,91.092,76.035,72.836,61.513,38.251,46.766
20220106,1800,LZ_HOUSTON,43.03,55.25,0,0,0,0,0,0
20220106,1900,LZ_HOUSTON,35.02,46.95,0,0,0,0,0,0
20220106,2000,LZ_HOUSTON,31.51,43.63,0,0,0,0,0,0
20220106,2100,LZ_HOUSTON,25.96,31.16,0,0,0,0,0,0
20220106,2200,LZ_HOUSTON,24.02,30.53,0,0,0,0,0,0
20220106,2300,LZ_HOUSTON,18.44,30.54,0,0,0,0,0,0
20220107,0,LZ_HOUSTON,17.31,29.8,0,0,0,0,0,0
20220107,100,LZ_HOUSTON,18.29,29.14,0,0,0,0,0,0
20220107,200,LZ_HOUSTON,22.02,28.86,0,0,0,0,0,0
20220107,300,LZ_HOUSTON,21.30,29.3,0,0,0,0,0,0
20220107,400,LZ_HOUSTON,21.08,32.45,0,0,0,0,0,0
20220107,500,LZ_HOUSTON,24.32,35.86,0,0,0,0,0,0
20220107,600,LZ_HOUSTON,23.68,78.23,0,0,0,0,0,0
20220107,700,LZ_HOUSTON,-3.03,65.49,0,0,0,0,0,0
20220107,800,LZ_HOUSTON,-3.04,42.03,0.64,0.508,0.509,0.391,0.265,0.273
20220107,900,LZ_HOUSTON,-1.42,30.77,6.148,5.52,5.29,50.772,30.088,35.493
20220107,1000,LZ_HOUSTON,0,27.61,23.521,24.775,21.677,17.719,10.552,11.608
20220107,1100,LZ_HOUSTON,4.55,27.6,32.824,25.668,26.347,20.233,13.658,16.747
20220107,1200,LZ_HOUSTON,29.65,25.28,19.03,18.615,18.917,16.967,10.782,13.627
20220107,1300,LZ_HOUSTON,32.71,25.21,21.394,22.677,22.385,16.454,11.093,12.544
20220107,1400,LZ_HOUSTON,42.23,22.31,22.139,20.46,20.048,16.827,10.654,12.413
20220107,1500,LZ_HOUSTON,74.36,21.87,20.383,16.733,17.218,14.298,10.167,10.259
20220107,1600,LZ_HOUSTON,77.01,23.98,14.659,13.056,12.466,9.448,6.713,7.341
20220107,1700,LZ_HOUSTON,75.97,29.45,5.842,4.932,4.739,3.562,2.304,2.185
20220107,1800,LZ_HOUSTON,69.18,29.87,0,0,0,0,0,0
20220107,1900,LZ_HOUSTON,51.70,27.34,0,0,0,0,0,0
20220107,2000,LZ_HOUSTON,51.14,26.02,0,0,0,0,0,0
20220107,2100,LZ_HOUSTON,48.15,25.84,0,0,0,0,0,0
20220107,2200,LZ_HOUSTON,50.98,27.09,0,0,0,0,0,0
20220107,2300,LZ_HOUSTON,47.96,26.42,0,0,0,0,0,0
20220108,0,LZ_HOUSTON,61.29,32.59,0,0,0,0,0,0
20220108,100,LZ_HOUSTON,68.47,28.49,0,0,0,0,0,0
20220108,200,LZ_HOUSTON,75.20,26.12,0,0,0,0,0,0
20220108,300,LZ_HOUSTON,75.42,25.33,0,0,0,0,0,0
20220108,400,LZ_HOUSTON,75.24,25.8,0,0,0,0,0,0
20220108,500,LZ_HOUSTON,74.82,25.61,0,0,0,0,0,0
20220108,600,LZ_HOUSTON,54.52,26.22,0,0,0,0,0,0
